task,parameter,run,delay_ms
Task 1,1,1,12813
Task 1,1,2,11761
Task 1,1,3,10042
Task 1,1,4,12164
Task 1,1,5,11132
Task 1,2,1,12574
Task 1,2,2,8883
Task 1,2,3,11410
Task 1,2,4,12573
Task 1,2,5,13118
Task 1,4,1,12279
Task 1,4,2,10948
Task 1,4,3,11069
Task 1,4,4,12585
Task 1,4,5,14500
Task 1,8,1,10845
Task 1,8,2,14302
Task 1,8,3,10204
Task 1,8,4,11295
Task 1,8,5,11288
Task 1,16,1,15049
Task 1,16,2,10402
Task 1,16,3,13961
Task 1,16,4,12354
Task 1,16,5,9001
Task 1,32,1,11061
Task 1,32,2,12762
Task 1,32,3,13449
Task 1,32,4,12712
Task 1,32,5,12572
Task 1,64,1,12052
Task 1,64,2,11191
Task 1,64,3,13028
Task 1,64,4,14121
Task 1,64,5,13589
Task 1,128,1,11941
Task 1,128,2,12578
Task 1,128,3,10628
Task 1,128,4,11609
Task 1,128,5,13904
Task 1,256,1,9926
Task 1,256,2,10474
Task 1,256,3,11143
Task 1,256,4,11128
Task 1,256,5,14835
Task 1,512,1,13801
Task 1,512,2,12252
Task 1,512,3,10448
Task 1,512,4,13686
Task 1,512,5,14339
Task 1,1024,1,14564
Task 1,1024,2,13215
Task 1,1024,3,14645
Task 1,1024,4,12602
Task 1,1024,5,13628
Task 2,100,1,58191
Task 2,100,3,57349
Task 2,100,4,52074
Task 2,200,1,27407
Task 2,200,2,29632
Task 2,200,3,32323
Task 2,200,4,26559
Task 2,200,5,32099
Task 2,300,1,18084
Task 2,300,2,21153
Task 2,300,3,19319
Task 2,300,4,19659
Task 2,300,5,18457
Task 2,400,1,14675
Task 2,400,2,16501
Task 2,400,3,14893
Task 2,400,4,16625
Task 2,400,5,12264
Task 2,500,1,13008
Task 2,500,2,9682
Task 2,500,3,12279
Task 2,500,4,9219
Task 2,500,5,11835
Task 2,600,1,11193
Task 2,600,2,9672
Task 2,600,3,10972
Task 2,600,4,7500
Task 2,600,5,10213
Task 2,700,1,9325
Task 2,700,2,9126
Task 2,700,3,8463
Task 2,700,4,8454
Task 2,700,5,9348
Task 2,800,1,6087
Task 2,800,2,6947
Task 2,800,3,7259
Task 2,800,4,8375
Task 2,800,5,7395
Task 2,900,1,7374
Task 2,900,2,6085
Task 2,900,3,7153
Task 2,900,4,7485
Task 2,900,5,6421
Task 2,1000,1,4244
Task 2,1000,2,5318
Task 2,1000,3,5861
Task 2,1000,4,5979
Task 2,1000,5,7167
Task 3,0.01,1,1857
Task 3,0.01,2,2838
Task 3,0.01,3,2637
Task 3,0.01,4,2664
Task 3,0.01,5,2206
Task 3,0.02,1,4703
Task 3,0.02,2,4583
Task 3,0.02,3,4911
Task 3,0.02,4,4569
Task 3,0.02,5,4374
Task 3,0.03,1,6767
Task 3,0.03,2,4798
Task 3,0.03,3,7293
Task 3,0.03,4,7938
Task 3,0.03,5,6418
Task 3,0.04,1,9443
Task 3,0.04,2,8993
Task 3,0.04,3,7707
Task 3,0.04,4,9660
Task 3,0.04,5,9349
Task 3,0.05,1,11643
Task 3,0.05,2,11506
Task 3,0.05,3,12519
Task 3,0.05,4,12727
Task 3,0.05,5,12322
Task 3,0.06,1,15154
Task 3,0.06,2,15772
Task 3,0.06,3,13365
Task 3,0.06,4,12448
Task 3,0.06,5,12232
Task 3,0.07,1,17553
Task 3,0.07,2,15903
Task 3,0.07,3,17538
Task 3,0.07,4,16120
Task 3,0.07,5,16220
Task 3,0.08,1,18845
Task 3,0.08,2,16209
Task 3,0.08,3,18553
Task 3,0.08,4,16409
Task 3,0.08,5,16827
Task 3,0.09,1,20301
Task 3,0.09,2,22640
Task 3,0.09,3,21674
Task 3,0.09,4,22936
Task 3,0.09,5,24619
Task 3,0.1,1,25489
Task 3,0.1,2,24938
Task 3,0.1,3,23739
Task 3,0.1,4,24717
Task 3,0.1,5,28322
